label,R_median,R_final,Global_median,PSD_slope,DFA_alpha,MI_median,Entropy_median,Corr_median
7,0.6626417,0.6910762,0.42502090334892273,-4.830406738336953,1.9517966354898553,2.092180587971064,3.140856457456982,-0.26412528472125835
2,0.5782811,0.6161012,0.43094995617866516,-4.1241943476467595,1.9439510186757734,2.156888809227656,3.1612922595660295,-0.2695680409470438
1,0.56484836,0.7607866,0.4286111816763878,-3.555339871802808,1.9308560851825418,2.001175164766337,3.157033960244276,-0.4354358680149102
0,0.5334452,0.6083127,0.4348336048424244,-4.0153344755686,1.9637786472638854,2.186556924265324,3.181562023073066,-0.2904763475572846
4,0.65515906,0.6781486,0.42673423141241074,-4.62145436831454,1.9466140061441704,2.0682679897551877,3.1866923069464796,-0.2605108590198413
1,0.6984405,0.7562412,0.42622536420822144,-3.876202070364949,1.894416770440692,2.1163596555179867,3.1856226929770166,-0.38293411570571945
4,0.6326053,0.6615555,0.427219495177269,-4.607644788938591,1.9492293769297426,2.144389682520508,3.187550803871046,-0.2591116557761838
9,0.6621067,0.69845355,0.4248707890510559,-4.786576427576323,1.9282681385298093,2.1075671915282808,3.1557146410942942,-0.2615958045953383
5,0.57331055,0.61387014,0.4317120909690857,-4.0108601182210295,1.953156077849113,2.1890290957091976,3.1994867858724794,-0.2808384825437839
9,0.5734173,0.6310327,0.43245045468211174,-4.017505579453128,1.946133765339454,2.166930794789869,3.205520142621693,-0.27077865623079367
0,0.55918074,0.59962445,0.433223620057106,-4.208051134461628,1.9692626772150819,2.1231110696254816,3.16121750414884,-0.25636077596808277
6,0.55339307,0.5920424,0.43287428840994835,-4.322760067950116,1.95784239915984,2.1875507562524397,3.174977518641767,-0.25343018458500444
9,0.6310822,0.6685495,0.4283345714211464,-4.358544555897379,1.913666742619256,2.1713235142037224,3.216139626138574,-0.25775119566304344
0,0.56961334,0.6245536,0.43168075382709503,-4.267440088902762,1.9669679570076508,2.1577945070469005,3.1678458172289394,-0.278626806837332
1,0.70824045,0.75754815,0.4252028539776802,-3.7395080511424412,1.8904103514772463,2.1267733216073297,3.1216190422422914,-0.3566959996542407
5,0.5951885,0.6158386,0.42843060195446014,-4.7338325419701155,1.9417418029624134,2.1467137484527736,3.185700203223485,-0.2686660819610316
9,0.6237075,0.6543344,0.42819903045892715,-4.595693842445158,1.9307594852428127,2.1157499782270177,3.1899192672262915,-0.2560834764895125
7,0.64563453,0.67402345,0.4272075667977333,-4.705631966921129,1.9330088930799971,2.143863345713376,3.204399135225719,-0.26111565613987925
3,0.5121615,0.57176024,0.43392957746982574,-3.9593924151430904,1.976542049107395,2.189274276750405,3.197148153078895,-0.3243566212205533
4,0.6725489,0.6968164,0.4245523326098919,-4.819176418084645,1.9610084230065126,2.006968587500328,3.1484490949684787,-0.28283701917451093
9,0.6258308,0.6791252,0.4305476099252701,-4.14975990117795,1.9201484499464756,2.1502432727546004,3.1987564117936076,-0.2519764695514368
6,0.64500266,0.6726688,0.4267752692103386,-4.590969049490396,1.9251385719577216,2.165799818540039,3.194960316966411,-0.25548151982309664
6,0.60381746,0.6350869,0.43028345704078674,-4.555754467925871,1.9259818620268063,2.1457822230051975,3.158616969805802,-0.2520431463221344
5,0.6294559,0.6546123,0.42681704461574554,-4.28557326589379,1.9272365203387358,2.077669065036672,3.184977645201881,-0.2619211618943844
4,0.666558,0.6898288,0.4241265282034874,-4.325801404619514,1.9318148966585142,1.9882182633993217,3.1314171707450287,-0.2967893325115665
0,0.3947134,0.51394635,0.4380203187465668,-3.855102957846763,1.9701313882117926,2.1545210821333773,3.20081684982892,-0.2912683331318069
7,0.6789937,0.71186644,0.42393720149993896,-4.561529361577997,1.942127330414269,2.098349364122725,3.1205949820312746,-0.308921839032579
4,0.6428176,0.674042,0.4272388815879822,-4.57600362333968,1.9419113757572306,2.1463761555410423,3.204928568486009,-0.25713943206978046
0,0.5444291,0.60606796,0.4335348978638649,-3.927579540204024,1.9611391770896016,2.1648311207114093,3.177850933363608,-0.285242319125945
1,0.6650369,0.76172245,0.4269220419228077,-3.880477409434729,1.9076590357472196,2.122022154536357,3.167518118264778,-0.409863761545082
3,0.63146985,0.67020774,0.4288630783557892,-4.645432041435401,1.9227272403589055,2.1850692616454808,3.1693054380929757,-0.2553278580053023
1,0.6016196,0.7595045,0.4273556247353554,-3.328948267262315,1.9575327670725295,2.1645511055334423,3.188688243499418,-0.4315074110438799
3,0.60554653,0.6512913,0.43014930188655853,-4.3728528993154,1.9303981876048426,2.110049861218399,3.2003091152627587,-0.26511987400196063
4,0.606819,0.6433339,0.4302297420799732,-4.3584598261783265,1.9308944664632972,2.1310309654844835,3.199515685659927,-0.25462603466851164
7,0.6207272,0.66639584,0.4289033077657223,-4.252151449769304,1.921590123789838,2.173238526850589,3.216462164626978,-0.2579117475682451
2,0.5500122,0.60120976,0.43285273015499115,-4.36012551158876,1.955809915821421,2.1338381360113026,3.1764606371967243,-0.24918951656293395
7,0.63312626,0.65504026,0.4274173453450203,-4.55374118208881,1.9268211167824583,2.1362280007201844,3.211808117172283,-0.2612541375131138
1,0.67968434,0.7623921,0.42698895931243896,-3.6264349847180775,1.90672893822079,2.1234631658632654,3.1921525872119663,-0.4031134530160264
2,0.6357066,0.66382694,0.427424818277359,-4.924385395822889,1.972637373707325,2.113743540906026,3.172342630165491,-0.26560696591874783
1,0.7054882,0.7384421,0.4234956279397011,-4.479514792086315,1.9230166051870894,2.0558947985374783,3.1176830178152937,-0.31192457155644926
1,0.35612217,0.64675975,0.4291372150182724,-3.6532563197508208,2.014819540035492,2.111907324124058,3.186886167524265,-0.43400502774227967
7,0.67040175,0.69801885,0.42435288429260254,-4.413216027947233,1.9606758252847638,2.0623948118028226,3.1376302537709773,-0.2813687669692614
4,0.6332945,0.6683698,0.42869195342063904,-4.131931599103426,1.9202384132269052,2.1853558217011426,3.2090923570108894,-0.25430227430709
2,0.66633224,0.6919471,0.4245904013514519,-4.513726715673221,1.9481026108426078,2.079776373591007,3.1299009898745718,-0.30080533669687964
3,0.6799442,0.71180606,0.4243439733982086,-4.370726766164787,1.9383656549428172,2.059025791771421,3.1458587296780287,-0.2756009157816247
5,0.6218075,0.63671374,0.4274764880537987,-4.693192887072719,1.9298916958613006,2.1262405658959356,3.1964392317204497,-0.2567588359449866
1,0.7034712,0.75167984,0.424040999263525,-4.631728084056347,1.9450100041741052,2.143443889380886,3.121030877292348,-0.2969555353537738
2,0.64625406,0.65756524,0.4246150106191635,-4.7854911092774595,1.941281954215639,2.096340363222371,3.1648836402898253,-0.25714935724612925
4,0.53422254,0.61402154,0.4354466572403908,-4.038625487489982,1.9550545463195077,2.1676518465324017,3.205514984934627,-0.28678249550406676
4,0.62350845,0.660558,0.42897098511457443,-4.535540646494465,1.9326671220769205,2.1638254293884716,3.1908365098202456,-0.2575697287793653
6,0.65915155,0.6869663,0.42601438984274864,-4.822539422062409,1.9254052825996153,2.1402221872993468,3.156859046184773,-0.2620966582889701
3,0.4987194,0.5687135,0.4352247305214405,-3.96462018184917,1.9692270700899346,2.144324087350057,3.173925641013833,-0.3077880806333802
5,0.5995819,0.6341159,0.4300030916929245,-4.39848769602403,1.939989720217273,2.1177319922035593,3.181085363076794,-0.2647274126673464
5,0.6288242,0.632556,0.4256264269351959,-4.680722153820652,1.9422246700183072,2.0912078608788622,3.1747599220033096,-0.2646812398551879
6,0.5052671,0.56268156,0.4347037822008133,-4.105324323722354,1.9646687033320243,2.1336785104142164,3.180067578085599,-0.293509673050914
0,0.60171753,0.64062816,0.4311479702591896,-4.131945788399823,1.9377682322321894,2.0923218445714857,3.191289878467666,-0.2603906862181648
4,0.5895825,0.6397778,0.4315083399415016,-4.1150475072622195,1.9454453357031842,2.1438300521443687,3.1944178029845336,-0.26085651031578266
1,0.5682517,0.7562235,0.4278549924492836,-3.713533490840285,1.962865200714644,2.1009410119844385,3.1755872136168746,-0.43471165056568306
9,0.6004492,0.64797974,0.43145814538002014,-4.3050875327037135,1.9288137829544347,2.1086923521984815,3.201142978453631,-0.2621204202458663
5,0.66301095,0.7078407,0.42534908279776573,-4.3471823169809785,1.9145668141436127,2.1075698093435364,3.178188957274207,-0.3496287409569083
7,0.6368071,0.674422,0.42958566546440125,-4.3968227858410245,1.9080131556932964,2.1629177768212617,3.1822774225166848,-0.2563412056789494
8,0.54798317,0.60801756,0.43342985957860947,-4.157590322586772,1.9521921317524098,2.150825418796181,3.184043587453387,-0.28739718746894977
9,0.6673877,0.6900012,0.42327992618083954,-4.359658373277884,1.9143483308425164,1.9953169686711103,3.101476946083447,-0.30890085843823645
3,0.636506,0.6629327,0.4270011633634567,-4.6299334554850615,1.9201638458792016,2.1876802422351336,3.1762578427988943,-0.2574825486171166
7,0.5477815,0.5933111,0.4327733889222145,-4.140098556886327,1.9713114078261742,2.183743460573348,3.2043059384458292,-0.2761038474713111
4,0.6813256,0.7188141,0.42475659400224686,-4.074947101468388,1.9267113341060103,2.0816825437240793,3.101248167475063,-0.3311506443829365
6,0.5911339,0.6226322,0.4319782517850399,-4.075100344296161,1.9388684293973704,2.0827362909747333,3.1872877758108906,-0.2506465712231545
4,0.62398064,0.6539922,0.42833661288022995,-4.530503569041098,1.9342198038500202,2.1201276420326534,3.2003230999950025,-0.26011105847108634
3,0.5479829,0.6126785,0.43376173824071884,-4.208611916601939,1.9655625372839063,2.1588023793539204,3.188977255297977,-0.31061243052378595
0,0.56163114,0.6049739,0.43215035647153854,-4.502496554405436,1.9556417766633063,2.1723491392125682,3.1994218221253368,-0.27686488163424333
7,0.64328593,0.6765328,0.4267270863056183,-4.550486847147035,1.9197043584449605,2.1411932186649305,3.2126108046894544,-0.2616394678416364
0,0.47206342,0.55289185,0.43574418127536774,-4.16289852390613,1.9787558742007785,2.1460334750002312,3.1955163070424817,-0.2832418322954367
2,0.5756056,0.61257213,0.4316712096333504,-4.380526357424682,1.9612256561475796,2.1480701603979,3.1846594072942365,-0.28189066610259894
9,0.6172584,0.6737839,0.43146394938230515,-4.2945147554931316,1.9359131650466153,2.1576816406345167,3.229950447772751,-0.26126536686143886
1,0.69980574,0.7579223,0.4259416200220585,-3.80996161387931,1.8983622083569083,2.1361273538154464,3.1898640583404716,-0.377339421716773
7,0.6283784,0.6583689,0.42812004685401917,-4.534978492821918,1.9346980032485548,2.1534091346045052,3.197174955140463,-0.2569114322587165
3,0.64557904,0.6738241,0.42556537687778473,-4.835116758161822,1.949095601514553,2.0866921013574764,3.1382005560067694,-0.26179001620505127
2,0.6394957,0.6660444,0.425456278026104,-4.659941888351257,1.948967281819827,2.1529128875726826,3.1741983411689314,-0.26469258403680157
9,0.67170656,0.7102429,0.42516835778951645,-4.703074477245956,1.937361794359147,2.1022198879942673,3.1802606144081977,-0.25506238172997664
7,0.5334404,0.6259324,0.4356337636709213,-4.140024346896865,1.9562910433016807,2.138056938010621,3.1854020294628236,-0.28369988451808686
7,0.6754655,0.70173746,0.42451029270887375,-4.49737717349903,1.9456733891191262,2.1147879888797214,3.165935605021115,-0.25387719404310133
6,0.61824316,0.663631,0.43078579008579254,-4.142868971984228,1.9294649456662565,2.1558052557474747,3.224704807554181,-0.253371076383512
2,0.55450344,0.61936307,0.4324061796069145,-4.178254380800428,1.9686918977862078,2.129770079901824,3.1957347834845424,-0.29015497181800987
7,0.67999756,0.6965779,0.4244987890124321,-4.94321298349121,1.9483217217810944,2.113913676599108,3.133532168187902,-0.26810885293656095
8,0.55730444,0.59220076,0.43277477473020554,-4.288496851888452,1.9545128727267633,2.1249894906682743,3.2011475704405834,-0.2836809711527791
4,0.54775304,0.6228673,0.43400125950574875,-3.9670492455435054,1.9739462395364207,2.1577857848232735,3.1793935069096007,-0.29724133655112406
7,0.6403918,0.6830907,0.42953216284513474,-4.075827827796255,1.9162943086518072,2.171387875299685,3.2016894154467463,-0.2558321616278609
3,0.58657306,0.63287276,0.43076591938734055,-4.31333539041947,1.952698366670908,2.1232475004566655,3.1891859648421352,-0.2655545330248844
6,0.59109694,0.6376225,0.43111808598041534,-4.373184411256935,1.951482254862986,2.1316039649156444,3.1948865667365527,-0.2674053733713911
1,0.7067201,0.7499366,0.42414334416389465,-4.494791146349777,1.9453417318681918,2.10091437972014,3.1371848856921725,-0.32778467937373856
3,0.59664655,0.6398098,0.4309978075325489,-4.221953593290957,1.9371597234482376,2.113252488770683,3.2025514924876566,-0.26176454480720496
6,0.6414441,0.67188454,0.42737582325935364,-4.495316062466999,1.9147470360114363,2.1415599797155593,3.1900380846277745,-0.25671966694749976
9,0.6613737,0.68596005,0.42425601184368134,-4.788745683697068,1.9610860726886812,2.136180208820792,3.116490995861529,-0.2715533750615769
3,0.5600141,0.63167167,0.43341999500989914,-4.2668843846698,1.95765709588333,2.1467980593261746,3.1966840268871697,-0.30991705450605267
1,0.6891494,0.7266769,0.4257063455879688,-4.8025367323333565,1.9299170923560152,2.143662437654008,3.1593814055371485,-0.24772853644013426
4,0.49598312,0.57657754,0.4357617720961571,-3.8795473458129117,1.9683762689113071,2.1645278644390875,3.1965324572423004,-0.29835206133163644
1,0.6605783,0.7597982,0.4257580265402794,-3.717674969898782,1.9248210513538757,2.1697724299400685,3.193954669571201,-0.40348446291013174
