R_final_median,DFA_alpha_median,PSD_slope_median,Magnitud_mean,MI_mean,Entropy_mean,n_valid,n_total,score,param_name,param_value,T_steps,gamma,del_t,init_omg,ksize,ch,n,T_model,img_size
0.2270061895251274,1.0564128435001896,-3.3809204652605724,0.42664400071782227,1.0376896350772162,,100,100,2.2228604574834825,T_steps,50.0,50,0.7,0.9,0.1,7,4,4,4,64
0.02401672676205635,1.3964181752166982,-3.419912730163272,0.4280801337996596,0.5443327687216424,,100,100,2.7290479975419197,T_steps,75.0,75,0.7,0.9,0.1,7,4,4,4,64
0.0050501590594649315,1.4257275361843398,-2.2535063017859924,0.42755903709347887,0.8922258085116852,,100,100,1.8383369113168009,T_steps,100.0,100,0.7,0.9,0.1,7,4,4,4,64
0.006309637101367116,1.07301457952474,-2.1304419843496927,0.4318055725907759,0.6281212660210111,,100,100,1.456455613998179,T_steps,125.0,125,0.7,0.9,0.1,7,4,4,4,64
0.006955724209547043,1.1366631423580484,-2.606492900879357,0.43304355667028205,0.5538280692946913,,100,100,1.8875691103803773,T_steps,150.0,150,0.7,0.9,0.1,7,4,4,4,64
0.0029078108491376042,1.0789279568523007,-3.567147026261708,0.42993868608027697,1.0661359111407596,,100,100,2.61395217564207,gamma,0.3,125,0.3,0.9,0.1,7,4,4,4,64
0.008752715308219194,1.5912781876084103,-3.813762494090364,0.4210367666276556,1.4191389578773368,,100,100,3.2152798300508003,gamma,0.5,125,0.5,0.9,0.1,7,4,4,4,64
0.0021612559212371707,1.4727701407126514,-3.1838268940506396,0.4309504479908991,0.8529072770440629,,100,100,2.6231163718893957,gamma,0.7,125,0.7,0.9,0.1,7,4,4,4,64
0.004425515420734882,1.2342968835463406,-2.4278110496861633,0.4286471928602883,0.5444362858675575,,100,100,1.8252608311652683,gamma,0.9,125,0.9,0.9,0.1,7,4,4,4,64
0.009455488063395023,0.6561857315058526,-1.5485744109322035,0.4292899679303879,0.487238520204762,,100,100,1.2044554554776858,gamma,1.1,125,1.1,0.9,0.1,7,4,4,4,64
0.007619539508596063,1.5062956065952626,-2.709978215050551,0.4256927565863681,0.8516226289332469,,100,100,2.265399517808055,del_t,0.5,125,1.1,0.5,0.1,7,4,4,4,64
0.9865708351135254,1.3728322965092872,-4.008802665132052,0.38784929976562066,0.7611736037943695,,100,100,3.191878804426597,del_t,0.7,125,1.1,0.7,0.1,7,4,4,4,64
0.01149180717766285,1.6364064271924215,-2.8846686053849693,0.42369681036484147,0.8989860788487989,,100,100,2.5053682188842497,del_t,0.9,125,1.1,0.9,0.1,7,4,4,4,64
0.004935907432809472,1.6306558482789293,-1.9479098252462954,0.4159923603994742,0.7915263585054073,,100,100,1.7579166313873702,del_t,1.1,125,1.1,1.1,0.1,7,4,4,4,64
0.9804578721523285,1.1964211908101734,-2.470916921320964,0.44033962516261943,0.5476079528548015,,100,100,1.8143283618572383,del_t,1.3,125,1.1,1.3,0.1,7,4,4,4,64
0.27150943875312805,1.394900940185821,-1.7956584327173881,0.4210202306922939,0.5701273087277532,,100,100,1.1809380595694394,init_omg,0.05,125,1.1,1.1,0.05,7,4,4,4,64
0.01222868263721466,1.3514189541426282,-2.1751223911633226,0.43832875324028825,0.8792910804269832,,100,100,1.709004393607546,init_omg,0.1,125,1.1,1.1,0.1,7,4,4,4,64
0.006415314273908734,1.317482218304751,-2.0056673324872776,0.41844665137903087,0.6318994599162399,,100,100,1.5521043263597143,init_omg,0.2,125,1.1,1.1,0.2,7,4,4,4,64
0.0018535949056968093,1.1755298261452114,-2.0869907937512426,0.4222095271069852,0.48647526634278115,,100,100,1.5081629010114663,init_omg,0.3,125,1.1,1.1,0.3,7,4,4,4,64
0.002489361446350813,1.4096351271525522,-1.6231033191912916,0.4180072814093104,0.8347411704481476,,100,100,1.3237013956287242,init_omg,0.5,125,1.1,1.1,0.5,7,4,4,4,64
0.054038479924201965,1.3708715036310992,-3.1060975422671646,0.4373980218781129,0.28509738668724016,,100,100,2.4275367567944093,ksize,3.0,125,1.1,1.1,0.05,3,4,4,4,64
0.003618858754634857,1.5110674081654376,-2.3024096281184483,0.4316408018773747,0.89005087872234,,100,100,1.9471627702724739,ksize,5.0,125,1.1,1.1,0.05,5,4,4,4,64
0.012671579606831074,1.0047867710199339,-2.3559039675270164,0.43217314900978215,0.5688756801079724,,100,100,1.575881011230729,ksize,7.0,125,1.1,1.1,0.05,7,4,4,4,64
0.004975137067958713,1.7436229799595577,-2.860127154929248,0.4022769405255242,1.112292391111886,,100,100,2.578024970843086,ksize,9.0,125,1.1,1.1,0.05,9,4,4,4,64
0.006490739760920405,1.6265354048284717,-1.3002353553362986,0.4272142831117861,0.5311156787421399,,100,100,1.234925868370896,ksize,11.0,125,1.1,1.1,0.05,11,4,4,4,64
