tiempo_t,N,media,mediana,std,Shapiro_p,Shapiro_normal,KS_p,KS_normal,Anderson_normal,Skewness,Kurtosis
42,10002,0.58960253,0.5991776,0.071975745,8.677481340870526e-29,No,1.2495628685117176e-35,No,No,-0.42255655,0.84945107
43,10002,0.5898802,0.5989865,0.07428566,2.1891262279544958e-26,No,1.188797497367023e-42,No,No,-0.32672086,0.8053467
44,10002,0.58565444,0.5962126,0.0720885,2.7975957987383937e-31,No,4.3423177129184405e-40,No,No,-0.46065658,0.87311053
45,10002,0.5857392,0.59546953,0.07425784,1.186710583578841e-28,No,6.79870772213014e-50,No,No,-0.3416748,0.8298433
46,10002,0.58116466,0.59269977,0.07030776,1.4624304397071426e-32,No,1.894403892201323e-41,No,No,-0.582395,0.83171034
47,10002,0.578553,0.5877527,0.07104112,9.028537728266701e-31,No,3.450405980490978e-52,No,No,-0.4006724,0.941756
48,10002,0.57358956,0.5843408,0.06704763,4.610172978996289e-33,No,2.9761426085464513e-38,No,No,-0.66816515,0.7311597
49,10002,0.5743419,0.58375585,0.069888055,1.681044502076874e-29,No,5.9478266553964804e-49,No,No,-0.4105266,0.8042009
50,10002,0.5719569,0.58244455,0.065926075,4.008720618045615e-33,No,3.274485075181507e-38,No,No,-0.704595,0.613317
51,10002,0.5735415,0.5825046,0.06805589,6.234112885275554e-28,No,8.575248076506691e-40,No,No,-0.50331396,0.6661067
52,10002,0.57127726,0.5814452,0.06408523,1.0201763440440146e-34,No,5.210749153856283e-38,No,No,-0.7784624,0.5296364
53,10002,0.57231843,0.5815736,0.06467612,1.8269445447885666e-31,No,5.5465300480564325e-31,No,No,-0.70962065,0.53318644
54,10002,0.569718,0.5792712,0.061632607,3.726381746602856e-39,No,2.7862526759140687e-38,No,No,-0.8550393,0.5191474
55,10002,0.5716312,0.5814713,0.06109042,1.1173828980612245e-40,No,2.288141122086974e-41,No,No,-0.9032832,0.65297437
56,10002,0.5725714,0.58317745,0.061828304,1.6206414406911024e-41,No,6.90140232358008e-45,No,No,-0.9173279,0.6381786
57,10002,0.57534695,0.58711493,0.064625904,4.2195844027310514e-40,No,1.7629749352081777e-49,No,No,-0.9327101,0.7008891
58,10002,0.5761588,0.5912404,0.07278254,2.1365408886313507e-43,No,5.34044089921818e-66,No,No,-1.0925109,1.344687
59,10002,0.575892,0.5940122,0.08342006,1.872653052212703e-50,No,3.0218037282567496e-88,No,No,-1.4250801,2.9042754
60,10002,0.5753002,0.59639513,0.096314155,4.082788542091701e-58,No,2.3642143324301436e-124,No,No,-1.9063095,5.015462
61,10002,0.5736964,0.59761775,0.10917666,3.741642556051575e-64,No,8.070116836665822e-177,No,No,-2.38816,7.530444
62,10002,0.5744957,0.5997892,0.116358384,3.675859907046851e-67,No,2.10480238155137e-202,No,No,-2.7365453,9.809279
63,10002,0.57723814,0.6002321,0.10969555,5.727960097152212e-65,No,1.2782231606258925e-168,No,No,-2.5700295,9.355721
64,10002,0.5814847,0.6016271,0.10041938,2.794377659326184e-59,No,4.867085576582755e-124,No,No,-2.1788197,7.402071
65,10002,0.58413327,0.60158557,0.09314446,1.5082160068116708e-55,No,2.767614977138032e-91,No,No,-1.8222258,5.7005377
66,10002,0.58710825,0.6030961,0.08917939,3.9378289267798326e-51,No,2.1463310237836036e-72,No,No,-1.5780581,4.4824414
67,10002,0.58912224,0.6033771,0.085004546,1.497320811092145e-45,No,1.6298738692432036e-57,No,No,-1.3354492,3.3648143
68,10002,0.5915418,0.6047929,0.08359726,9.414411937796334e-44,No,2.3416021856529572e-51,No,No,-1.2087907,2.7292447
69,10002,0.5932836,0.6054397,0.0809888,1.1282495315623598e-40,No,1.0796560124381703e-43,No,No,-1.0467494,2.0392509
70,10002,0.59537375,0.60703087,0.08087118,9.499427775771012e-40,No,5.01113818714933e-39,No,No,-0.9879188,1.7474875
71,10002,0.5969106,0.6077902,0.07912128,8.217497590642556e-35,No,1.4720019056952167e-33,No,No,-0.87702125,1.3336515
72,10002,0.5987854,0.6092656,0.079701655,3.687891331774932e-36,No,2.1044918657651283e-30,No,No,-0.8573856,1.2291379
73,10002,0.6002274,0.6099788,0.0784442,1.0075936104162811e-32,No,3.6317033538526625e-26,No,No,-0.7828782,0.98625946
74,10002,0.6021451,0.61161566,0.079353265,3.0067061705716793e-32,No,1.0893346657091439e-24,No,No,-0.7864792,0.98026013
75,10002,0.6037008,0.6125456,0.07846417,3.065273246206632e-31,No,4.466131875498994e-22,No,No,-0.7467829,0.864553
